X,Y,S_No,Location_o,Name_of_th,Latitude,Longitude,icon_url
79.63578,11.91881,1,Madagadipet (Pondy Villupuram Highway),Thirubhuvanai,11.91881000000,79.63578000000,./0.png
79.62679,11.99768,2,Thirukkanur (Valudaur road),Mannadipet,11.99768000000,79.62679000000,./0.png
79.79621,11.95679,3,Gorimedu (Tindivanam road),Indira Nagar,11.95679000000,79.79621000000,./0.png
79.76363,11.94093,4,Iyyankuttipalayam (Pathu Kannu road),Ossudu,11.94093000000,79.76363000000,./0.png
79.86953,12.04396,5,Kanagachetti kulam (Marakkanam road),Kalapet,12.04396000000,79.86953000000,./0.png
79.79585,11.87226,6,Thavalakuppam (Pondy to Cuddalore road near Korukkumedu Road,Manaveli,11.87226000000,79.79585000000,./0.png
79.73655,11.78258,7,Soriyankuppam (Chavady road),Bahour,11.78258000000,79.73655000000,./0.png
79.60364,11.87378,8,Madukarai (Siruvanthadu/Thandram palayam road),Nettapakkam,11.87378000000,79.60364000000,./0.png
79.76945,11.79333,9,Mullodai (Cuddalore road),Bahour,11.79333000000,79.76945000000,./0.png
79.74925,12.0064,10,Sedarapet (Mailam road),Ossudu,12.00640000000,79.74925000000,./0.png
79.77164,11.78564,11,Uchimedu,Bahour,11.78564000000,79.77164000000,./0.png
79.71553,11.79587,12,Kurivinatham - Sitheri,Bahour,11.79587000000,79.71553000000,./0.png
79.67794,11.80713,13,Manamedu,Bahour,11.80713000000,79.67794000000,./0.png
79.6464,11.81904,14,Karayambathur,Nettapakkam,11.81904000000,79.64640000000,./0.png
79.82711,11.95675,15,Kamarajar Manimandapam,Kalapet,11.95675000000,79.82711000000,./0.png
